"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU227.p:Discosea-Discosea_X.g:Acanthamoeba",1,0,1,0,1,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,1
"OTU228.p:Tubulinea-Tubulinea_X.g:Hartmannellidae_X",0,0,1,0,0,0,0,0,0,2,2,2,0,0,1,2,1,8,5,2,0,15,0,7,7
"OTU229.p:Tubulinea-Tubulinea_X.g:Copromyxa",5,0,0,0,0,0,0,0,0,3,0,1,2,0,1,2,1,3,0,0,0,24,0,4,0
"OTU235.p:Evosea-Evosea_X.g:Variosea_XXX",3,1,1,0,5,0,3,1,2,5,2,2,0,0,1,0,2,1,1,0,2,2,4,2,9
"OTU236.p:Evosea-Evosea_X.g:Flamella",0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,4,0,0,1,0
"OTU237.p:Stramenopiles-Gyrista.g:Spumella",1,0,2,3,1,1,1,1,6,3,0,1,1,1,4,0,6,3,1,2,1,3,0,1,3
"OTU238.p:Tubulinea-Tubulinea_X.g:Ptolemeba",4,1,1,0,10,1,1,1,2,0,2,3,0,0,1,1,0,0,0,0,0,0,0,2,0
"OTU239.p:Alveolata-Ciliophora.g:Nassula",1,0,1,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU241.p:Stramenopiles-Bigyra.g:Labyrinthulaceae_X",0,2,10,6,0,0,2,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
"OTU242.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU243.p:Tubulinea-Tubulinea_X.g:Copromyxa",1,1,0,1,4,1,2,0,1,0,0,2,1,2,1,2,4,2,1,0,0,3,0,1,2
"OTU244.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonadales_XX",0,2,0,1,1,0,1,1,1,4,4,0,8,0,1,4,1,5,1,0,4,3,0,6,2
"OTU245.p:Alveolata-Ciliophora.g:Platyophryida_X",0,3,0,5,0,1,0,0,6,7,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"OTU247.p:Centroplasthelida-Centroplasthelida_X.g:Centroplasthelida_XXXXX",0,3,2,1,2,0,2,0,2,1,0,1,0,0,1,8,9,4,0,4,0,0,0,0,0
"OTU250.p:Stramenopiles-Gyrista.g:Asterosiphon",0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,9,3,4,2,3,0,4,0,1,0
"OTU251.p:Chlorophyta-Chlorophyta_X.g:Vitreochlamys",0,3,3,0,0,2,1,4,1,2,0,0,2,1,1,3,13,13,5,11,0,0,1,3,4
"OTU254.p:Haptophyta-Haptophyta_X.g:Pavlomulina",1,2,0,2,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU255.p:Tubulinea-Tubulinea_X.g:Leptomyxa",2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1
"OTU256.p:Stramenopiles-Bigyra.g:Aplanochytrium",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU257.p:Alveolata-Ciliophora.g:Tetrahymena",1,0,0,1,2,1,0,0,1,0,1,0,0,0,4,1,0,0,0,0,0,32,1,0,0
"OTU258.p:Evosea-Evosea_X.g:Variosea_XXX",0,2,1,6,1,2,1,0,2,0,0,3,1,0,1,1,2,5,3,1,0,0,0,0,0
"OTU259.p:Evosea-Evosea_X.g:Filamoeba",2,3,3,8,8,9,5,6,14,13,8,10,25,2,12,1,10,2,4,7,17,10,51,31,21
"OTU261.p:Alveolata-Ciliophora.g:Eschaneustyla",0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0
